time,value
"{'interval_start': '2020-11-23T00:00:00Z', 'max': '2020-11-29T14:11:32.240000Z', 'min': '2020-11-23T12:42:21.400000Z'}","{'average': 0.033327755646669004, 'count': 1378, 'max': 0.039388678967952, 'min': 0.027363143861293, 'standard deviation': 0.001744537407777}"
"{'interval_start': '2020-11-30T00:00:00Z', 'max': '2020-12-06T15:19:55.193000Z', 'min': '2020-11-30T12:13:04.977000Z'}","{'average': 0.033305686785778, 'count': 826, 'max': 0.043293111026287, 'min': 0.026043981313705004, 'standard deviation': 0.0023035454206380003}"
"{'interval_start': '2020-12-07T00:00:00Z', 'max': '2020-12-13T14:48:47.862000Z', 'min': '2020-12-07T13:19:31.414000Z'}","{'average': 0.033939902294515004, 'count': 973, 'max': 0.04389035701751701, 'min': 0.027158938348293003, 'standard deviation': 0.0036253798798010005}"
"{'interval_start': '2020-12-14T00:00:00Z', 'max': '2020-12-20T14:17:30.767000Z', 'min': '2020-12-14T12:48:34.759000Z'}","{'average': 0.03359023323424, 'count': 922, 'max': 0.039208032190799005, 'min': 0.026998706161975004, 'standard deviation': 0.0015496895757770002}"
"{'interval_start': '2020-12-21T00:00:00Z', 'max': '2020-12-25T12:43:38.678000Z', 'min': '2020-12-21T12:18:35.300000Z'}","{'average': 0.035027275881858, 'count': 473, 'max': 0.041918952018022, 'min': 0.028609670698642002, 'standard deviation': 0.0017753061001690002}"
"{'interval_start': '2020-12-28T00:00:00Z', 'max': '2021-01-03T14:55:16.076000Z', 'min': '2020-12-28T13:25:56.136000Z'}","{'average': 0.035767640682187005, 'count': 670, 'max': 0.043904609978199005, 'min': 0.028204258531332002, 'standard deviation': 0.0025301194255540004}"
"{'interval_start': '2021-01-04T00:00:00Z', 'max': '2021-01-10T12:44:00.039000Z', 'min': '2021-01-04T12:54:47.243000Z'}","{'average': 0.036185788929231, 'count': 774, 'max': 0.041551630944013006, 'min': 0.028796100988984004, 'standard deviation': 0.0017765085710560002}"
"{'interval_start': '2021-01-11T00:00:00Z', 'max': '2021-01-17T12:13:31.259000Z', 'min': '2021-01-11T12:25:23.624000Z'}","{'average': 0.034835130743875, 'count': 347, 'max': 0.041225466877222006, 'min': 0.030032232403755, 'standard deviation': 0.0018572361842490001}"
"{'interval_start': '2021-01-18T00:00:00Z', 'max': '2021-01-24T15:02:29.438000Z', 'min': '2021-01-18T13:32:19.271000Z'}","{'average': 0.034904658534671, 'count': 502, 'max': 0.041673321276903, 'min': 0.028818154707551003, 'standard deviation': 0.002279927802676}"
"{'interval_start': '2021-01-25T00:00:00Z', 'max': '2021-01-31T12:50:46.121000Z', 'min': '2021-01-25T13:01:00.352000Z'}","{'average': 0.034392958501102, 'count': 638, 'max': 0.040353331714868004, 'min': 0.027412574738264, 'standard deviation': 0.0022796728624560002}"
"{'interval_start': '2021-02-01T00:00:00Z', 'max': '2021-02-07T12:19:51.530000Z', 'min': '2021-02-01T12:30:04.815000Z'}","{'average': 0.034731331747697006, 'count': 693, 'max': 0.039886396378278004, 'min': 0.029248509556055003, 'standard deviation': 0.0016243433474000001}"
"{'interval_start': '2021-02-08T00:00:00Z', 'max': '2021-02-14T13:27:05.407000Z', 'min': '2021-02-08T13:38:15.915000Z'}","{'average': 0.036975904339457, 'count': 918, 'max': 0.042245633900165, 'min': 0.02979677543044, 'standard deviation': 0.0016150503581290002}"
"{'interval_start': '2021-02-15T00:00:00Z', 'max': '2021-02-21T12:56:57.798000Z', 'min': '2021-02-15T13:07:09.692000Z'}","{'average': 0.034112547748709005, 'count': 527, 'max': 0.041162036359310004, 'min': 0.027191340923309004, 'standard deviation': 0.002460562602739}"
"{'interval_start': '2021-02-22T00:00:00Z', 'max': '2021-02-28T14:05:35.662000Z', 'min': '2021-02-22T14:15:59.224000Z'}","{'average': 0.034655258799275, 'count': 987, 'max': 0.040515702217817, 'min': 0.024205369874835, 'standard deviation': 0.0031374399719210004}"
"{'interval_start': '2021-03-01T00:00:00Z', 'max': '2021-03-07T15:15:00.710000Z', 'min': '2021-03-01T13:44:33.099000Z'}","{'average': 0.036467427714699005, 'count': 1134, 'max': 0.044591404497623006, 'min': 0.030934149399399, 'standard deviation': 0.002418352121941}"
"{'interval_start': '2021-03-08T00:00:00Z', 'max': '2021-03-14T14:43:30.473000Z', 'min': '2021-03-08T13:13:16.839000Z'}","{'average': 0.036507886702254, 'count': 930, 'max': 0.047812107950448005, 'min': 0.028062252327799003, 'standard deviation': 0.003169322854504}"
"{'interval_start': '2021-03-15T00:00:00Z', 'max': '2021-03-21T12:32:06.443000Z', 'min': '2021-03-15T12:42:18.635000Z'}","{'average': 0.036545081066762006, 'count': 701, 'max': 0.042399387806653005, 'min': 0.025942802429199004, 'standard deviation': 0.0024570513792930002}"
"{'interval_start': '2021-03-22T00:00:00Z', 'max': '2021-03-28T16:20:39.211000Z', 'min': '2021-03-22T13:50:42.770000Z'}","{'average': 0.036092214223733, 'count': 982, 'max': 0.042422946542501005, 'min': 0.027042726054787, 'standard deviation': 0.002352355899754}"
"{'interval_start': '2021-03-29T00:00:00Z', 'max': '2021-04-04T15:49:48.327000Z', 'min': '2021-03-29T16:00:07.831000Z'}","{'average': 0.036831025448553004, 'count': 935, 'max': 0.042513716965913, 'min': 0.029498130083084002, 'standard deviation': 0.002228104853532}"
"{'interval_start': '2021-04-05T00:00:00Z', 'max': '2021-04-11T13:38:12.208000Z', 'min': '2021-04-05T13:48:25.321000Z'}","{'average': 0.036430043932858, 'count': 1083, 'max': 0.04617253690958, 'min': 0.029457597061991, 'standard deviation': 0.0021068555666490002}"
"{'interval_start': '2021-04-12T00:00:00Z', 'max': '2021-04-18T16:27:20.294000Z', 'min': '2021-04-12T13:17:47.390000Z'}","{'average': 0.037701827355440004, 'count': 1006, 'max': 0.045143324881792006, 'min': 0.031169759109616002, 'standard deviation': 0.0018080108863050002}"
"{'interval_start': '2021-04-19T00:00:00Z', 'max': '2021-04-25T15:56:02.079000Z', 'min': '2021-04-19T16:06:26.582000Z'}","{'average': 0.037302931991237, 'count': 1157, 'max': 0.044368688017129, 'min': 0.032205328345298004, 'standard deviation': 0.001484062065601}"
"{'interval_start': '2021-04-26T00:00:00Z', 'max': '2021-05-02T15:24:14.691000Z', 'min': '2021-04-26T15:34:38.004000Z'}","{'average': 0.03514997178294, 'count': 1015, 'max': 0.042872589081525005, 'min': 0.028577944263815002, 'standard deviation': 0.0022506793182480002}"
"{'interval_start': '2021-05-03T00:00:00Z', 'max': '2021-05-09T16:32:55.554000Z', 'min': '2021-05-03T13:25:39.422000Z'}","{'average': 0.033764934305924005, 'count': 806, 'max': 0.040639419108629005, 'min': 0.026826234534382, 'standard deviation': 0.002145025759823}"
"{'interval_start': '2021-05-10T00:00:00Z', 'max': '2021-05-16T16:02:16.392000Z', 'min': '2021-05-10T16:12:38.186000Z'}","{'average': 0.031136222442855, 'count': 805, 'max': 0.036841847002506006, 'min': 0.024307122454047002, 'standard deviation': 0.001754115549487}"
"{'interval_start': '2021-05-17T00:00:00Z', 'max': '2021-05-23T13:50:17.268000Z', 'min': '2021-05-17T14:00:31.882000Z'}","{'average': 0.030807414536749, 'count': 1129, 'max': 0.038997795432806, 'min': 0.023366428911685003, 'standard deviation': 0.001795005894138}"
"{'interval_start': '2021-05-24T00:00:00Z', 'max': '2021-05-30T13:19:22.014000Z', 'min': '2021-05-24T15:09:13.954000Z'}","{'average': 0.030671481401495, 'count': 738, 'max': 0.036778204143047, 'min': 0.024146186187863003, 'standard deviation': 0.0024171109044060003}"
"{'interval_start': '2021-05-31T00:00:00Z', 'max': '2021-06-06T16:08:32.090000Z', 'min': '2021-05-31T16:18:50.680000Z'}","{'average': 0.031289905716244, 'count': 788, 'max': 0.037289235740900005, 'min': 0.024580687284469, 'standard deviation': 0.0018658167701850002}"
"{'interval_start': '2021-06-07T00:00:00Z', 'max': '2021-06-13T15:36:28.910000Z', 'min': '2021-06-07T14:06:33.768000Z'}","{'average': 0.030062906513205003, 'count': 943, 'max': 0.034756071865558, 'min': 0.023483812808990003, 'standard deviation': 0.001617411096981}"
"{'interval_start': '2021-06-14T00:00:00Z', 'max': '2021-06-20T15:05:01.019000Z', 'min': '2021-06-14T13:35:38.862000Z'}","{'average': 0.027625365152899, 'count': 811, 'max': 0.033883906900882, 'min': 0.022543601691722003, 'standard deviation': 0.0015466129684390002}"
"{'interval_start': '2021-06-21T00:00:00Z', 'max': '2021-06-27T16:14:25.463000Z', 'min': '2021-06-21T13:06:21.647000Z'}","{'average': 0.026230197128173004, 'count': 857, 'max': 0.031839646399021, 'min': 0.017057413235306, 'standard deviation': 0.0022222476277970003}"
"{'interval_start': '2021-06-28T00:00:00Z', 'max': '2021-07-04T15:42:52.215000Z', 'min': '2021-06-28T15:53:13.351000Z'}","{'average': 0.026131470429311, 'count': 1276, 'max': 0.035743422806262005, 'min': 0.017439475283026, 'standard deviation': 0.002355985321203}"
"{'interval_start': '2021-07-05T00:00:00Z', 'max': '2021-07-11T15:11:17.541000Z', 'min': '2021-07-07T13:06:25.701000Z'}","{'average': 0.02880032633385, 'count': 383, 'max': 0.034455589950084, 'min': 0.021605370566248002, 'standard deviation': 0.002108843998239}"
"{'interval_start': '2021-07-12T00:00:00Z', 'max': '2021-07-18T16:21:09.837000Z', 'min': '2021-07-12T13:12:45.128000Z'}","{'average': 0.029200663192970003, 'count': 889, 'max': 0.040320072323083, 'min': 0.023109668865799002, 'standard deviation': 0.002529117825235}"
"{'interval_start': '2021-07-19T00:00:00Z', 'max': '2021-07-25T15:49:23.502000Z', 'min': '2021-07-19T15:59:40.688000Z'}","{'average': 0.035422582189882, 'count': 1233, 'max': 0.058264158666133006, 'min': 0.024743402376770002, 'standard deviation': 0.005424678146375}"
"{'interval_start': '2021-07-26T00:00:00Z', 'max': '2021-08-01T13:37:53.244000Z', 'min': '2021-07-26T13:48:02.258000Z'}","{'average': 0.034500957704254, 'count': 929, 'max': 0.046030260622501006, 'min': 0.021576231345534002, 'standard deviation': 0.0036194371971600002}"
"{'interval_start': '2021-08-02T00:00:00Z', 'max': '2021-08-08T16:27:30.156000Z', 'min': '2021-08-02T14:56:34.646000Z'}","{'average': 0.035320318271076005, 'count': 792, 'max': 0.044320426881313005, 'min': 0.028680423274636, 'standard deviation': 0.002328354418761}"
"{'interval_start': '2021-08-09T00:00:00Z', 'max': '2021-08-15T15:55:50.474000Z', 'min': '2021-08-09T16:06:09.662000Z'}","{'average': 0.038185874381925, 'count': 688, 'max': 0.051578607410192004, 'min': 0.028326133266091003, 'standard deviation': 0.004877001000991}"
"{'interval_start': '2021-08-16T00:00:00Z', 'max': '2021-08-22T13:44:09.639000Z', 'min': '2021-08-16T13:54:21.326000Z'}","{'average': 0.037817638348518, 'count': 690, 'max': 0.051914159208536, 'min': 0.028982959687709003, 'standard deviation': 0.003761585921649}"
"{'interval_start': '2021-08-23T00:00:00Z', 'max': '2021-08-29T13:13:14.224000Z', 'min': '2021-08-23T13:23:31.639000Z'}","{'average': 0.04024508916641, 'count': 671, 'max': 0.048567615449428, 'min': 0.030831975862383003, 'standard deviation': 0.0026386515135810003}"
"{'interval_start': '2021-08-30T00:00:00Z', 'max': '2021-09-05T16:02:02.521000Z', 'min': '2021-08-30T16:12:34.839000Z'}","{'average': 0.038105091611214004, 'count': 512, 'max': 0.049276076257228005, 'min': 0.031531915068626, 'standard deviation': 0.002770385849678}"
"{'interval_start': '2021-09-06T00:00:00Z', 'max': '2021-09-12T15:30:33.981000Z', 'min': '2021-09-06T14:00:49.476000Z'}","{'average': 0.035268233797688, 'count': 1202, 'max': 0.041092835366725006, 'min': 0.025922046974301, 'standard deviation': 0.0025509038281520003}"
"{'interval_start': '2021-09-13T00:00:00Z', 'max': '2021-09-19T13:19:33.091000Z', 'min': '2021-09-13T13:29:57.667000Z'}","{'average': 0.035578673928597, 'count': 985, 'max': 0.044986061751842006, 'min': 0.02161693572998, 'standard deviation': 0.0034322699843630003}"
"{'interval_start': '2021-09-20T00:00:00Z', 'max': '2021-09-26T16:08:29.887000Z', 'min': '2021-09-20T16:19:01.303000Z'}","{'average': 0.033780021618896004, 'count': 503, 'max': 0.041713260114192005, 'min': 0.026617366820573002, 'standard deviation': 0.0030441390473320003}"
"{'interval_start': '2021-09-27T00:00:00Z', 'max': '2021-10-03T13:56:44.712000Z', 'min': '2021-09-27T15:47:16.776000Z'}","{'average': 0.033653146224402006, 'count': 852, 'max': 0.039572954177856, 'min': 0.022528642788529, 'standard deviation': 0.002279667437448}"
"{'interval_start': '2021-10-04T00:00:00Z', 'max': '2021-10-10T13:25:57.127000Z', 'min': '2021-10-04T13:36:02.930000Z'}","{'average': 0.031156801669006, 'count': 869, 'max': 0.039299517869949, 'min': 0.024523019790649, 'standard deviation': 0.002734781369373}"
"{'interval_start': '2021-10-11T00:00:00Z', 'max': '2021-10-17T16:15:20.878000Z', 'min': '2021-10-11T14:44:30.262000Z'}","{'average': 0.032245297080632, 'count': 1187, 'max': 0.041139684617519004, 'min': 0.024379204958677, 'standard deviation': 0.0019887210497380003}"
"{'interval_start': '2021-10-18T00:00:00Z', 'max': '2021-10-23T14:21:38.273000Z', 'min': '2021-10-18T14:13:26.604000Z'}","{'average': 0.03063545605255, 'count': 512, 'max': 0.035075433552265, 'min': 0.022648200392723, 'standard deviation': 0.0021430047312130003}"
"{'interval_start': '2021-10-25T00:00:00Z', 'max': '2021-10-31T14:11:29.829000Z', 'min': '2021-10-25T13:42:24.712000Z'}","{'average': 0.030647660930436003, 'count': 820, 'max': 0.035781655460596, 'min': 0.023895440623164003, 'standard deviation': 0.001632074089101}"
"{'interval_start': '2021-11-01T00:00:00Z', 'max': '2021-11-07T13:40:36.980000Z', 'min': '2021-11-01T13:50:51.195000Z'}","{'average': 0.031289297160881004, 'count': 961, 'max': 0.036669168621301006, 'min': 0.023009415715932003, 'standard deviation': 0.001966762505164}"
"{'interval_start': '2021-11-08T00:00:00Z', 'max': '2021-11-14T13:09:13.091000Z', 'min': '2021-11-08T13:19:40.471000Z'}","{'average': 0.030150607925567, 'count': 967, 'max': 0.036086492240428, 'min': 0.023404574021697003, 'standard deviation': 0.0015805184864330002}"
"{'interval_start': '2021-11-15T00:00:00Z', 'max': '2021-11-21T12:38:36.347000Z', 'min': '2021-11-15T12:48:45.863000Z'}","{'average': 0.032185312077836, 'count': 962, 'max': 0.048795096576213004, 'min': 0.023433968424797003, 'standard deviation': 0.002070275703925}"
"{'interval_start': '2021-11-22T00:00:00Z', 'max': '2021-11-28T13:47:02.035000Z', 'min': '2021-11-22T13:57:16.952000Z'}","{'average': 0.032298023172823, 'count': 1009, 'max': 0.038985397666692005, 'min': 0.023456815630197, 'standard deviation': 0.002360813507518}"
"{'interval_start': '2021-11-29T00:00:00Z', 'max': '2021-12-05T14:55:33.306000Z', 'min': '2021-11-29T15:06:56.080000Z'}","{'average': 0.032484683574189, 'count': 458, 'max': 0.038422562181949005, 'min': 0.025654334574937, 'standard deviation': 0.0018635948526140001}"
"{'interval_start': '2021-12-06T00:00:00Z', 'max': '2021-12-12T14:24:02.737000Z', 'min': '2021-12-06T14:35:12.805000Z'}","{'average': 0.030286287901343002, 'count': 598, 'max': 0.036602202802896, 'min': 0.024804230779409003, 'standard deviation': 0.001781533054879}"
"{'interval_start': '2021-12-13T00:00:00Z', 'max': '2021-12-19T13:52:55.856000Z', 'min': '2021-12-13T14:03:47.514000Z'}","{'average': 0.030661341857994004, 'count': 602, 'max': 0.034361857920885, 'min': 0.026272814720869002, 'standard deviation': 0.001363375982921}"
"{'interval_start': '2021-12-20T00:00:00Z', 'max': '2021-12-26T15:01:44.208000Z', 'min': '2021-12-20T13:32:26.031000Z'}","{'average': 0.031605782474462, 'count': 390, 'max': 0.040460254997015006, 'min': 0.027505112811923003, 'standard deviation': 0.0018207697544090002}"
"{'interval_start': '2021-12-27T00:00:00Z', 'max': '2022-01-02T14:30:39.542000Z', 'min': '2021-12-27T14:41:43.495000Z'}","{'average': 0.030060805969010004, 'count': 424, 'max': 0.035869698971509004, 'min': 0.023285258561372, 'standard deviation': 0.0020984092011450003}"
"{'interval_start': '2022-01-03T00:00:00Z', 'max': '2022-01-09T13:59:44.995000Z', 'min': '2022-01-03T14:10:43.140000Z'}","{'average': 0.032098629704673004, 'count': 686, 'max': 0.038641404360532004, 'min': 0.023704348132014, 'standard deviation': 0.00218025631084}"
"{'interval_start': '2022-01-10T00:00:00Z', 'max': '2022-01-16T13:28:40.162000Z', 'min': '2022-01-10T13:38:57.711000Z'}","{'average': 0.032587468013247, 'count': 744, 'max': 0.038406562060117, 'min': 0.024094577878713, 'standard deviation': 0.0018421378976930002}"
"{'interval_start': '2022-01-17T00:00:00Z', 'max': '2022-01-22T13:16:11.603000Z', 'min': '2022-01-17T13:07:45.793000Z'}","{'average': 0.034708689200042005, 'count': 827, 'max': 0.040439188480377, 'min': 0.027416968718171, 'standard deviation': 0.001461181654208}"
"{'interval_start': '2022-01-24T00:00:00Z', 'max': '2022-01-30T14:05:50.397000Z', 'min': '2022-01-24T14:16:35.129000Z'}","{'average': 0.0337704201986, 'count': 898, 'max': 0.037280857563018, 'min': 0.029161363840103004, 'standard deviation': 0.0012906212553230002}"
"{'interval_start': '2022-01-31T00:00:00Z', 'max': '2022-02-06T13:34:56.372000Z', 'min': '2022-01-31T13:45:08.016000Z'}","{'average': 0.032848949178928, 'count': 839, 'max': 0.038445487618446, 'min': 0.022072749212384002, 'standard deviation': 0.0026755834056070003}"
"{'interval_start': '2022-02-07T00:00:00Z', 'max': '2022-02-13T14:43:25.731000Z', 'min': '2022-02-07T14:54:32.376000Z'}","{'average': 0.035044945230476, 'count': 829, 'max': 0.044316299259662004, 'min': 0.027354717254638002, 'standard deviation': 0.0023335959621380003}"
"{'interval_start': '2022-02-14T00:00:00Z', 'max': '2022-02-19T14:31:31.889000Z', 'min': '2022-02-14T14:22:54.984000Z'}","{'average': 0.031371886665556, 'count': 755, 'max': 0.040243379771709005, 'min': 0.021590324118733, 'standard deviation': 0.003130627296815}"
"{'interval_start': '2022-02-21T00:00:00Z', 'max': '2022-02-27T13:41:10.669000Z', 'min': '2022-02-21T13:51:26.023000Z'}","{'average': 0.033957406231007, 'count': 981, 'max': 0.039923712611198, 'min': 0.026135990396142002, 'standard deviation': 0.002146798974611}"
"{'interval_start': '2022-02-28T00:00:00Z', 'max': '2022-03-06T14:50:20.307000Z', 'min': '2022-02-28T15:01:21.216000Z'}","{'average': 0.033719384880562, 'count': 953, 'max': 0.040208708494901005, 'min': 0.023651860654354002, 'standard deviation': 0.0021883044067130004}"
"{'interval_start': '2022-03-07T00:00:00Z', 'max': '2022-03-13T14:18:50.815000Z', 'min': '2022-03-07T12:49:14.601000Z'}","{'average': 0.034828529606347004, 'count': 1169, 'max': 0.041281990706920006, 'min': 0.027734689414501003, 'standard deviation': 0.002081045484746}"
"{'interval_start': '2022-03-14T00:00:00Z', 'max': '2022-03-20T13:47:21.614000Z', 'min': '2022-03-14T13:57:41.650000Z'}","{'average': 0.03525862438893, 'count': 1122, 'max': 0.041689008474349004, 'min': 0.026270942762494, 'standard deviation': 0.0028386615736}"
"{'interval_start': '2022-03-21T00:00:00Z', 'max': '2022-03-27T14:16:07.897000Z', 'min': '2022-03-21T15:07:17.812000Z'}","{'average': 0.036500768111182004, 'count': 1103, 'max': 0.043722722679376005, 'min': 0.029807161539793, 'standard deviation': 0.002092552539402}"
"{'interval_start': '2022-03-28T00:00:00Z', 'max': '2022-04-03T13:44:57.737000Z', 'min': '2022-03-28T13:55:19.526000Z'}","{'average': 0.034515727180660004, 'count': 1026, 'max': 0.040398705750703, 'min': 0.025176534429192002, 'standard deviation': 0.0021096261646790003}"
"{'interval_start': '2022-04-04T00:00:00Z', 'max': '2022-04-10T14:53:31.650000Z', 'min': '2022-04-04T15:03:55.189000Z'}","{'average': 0.032324122888336006, 'count': 1004, 'max': 0.039940226823091, 'min': 0.023197485134005002, 'standard deviation': 0.0025123177483150003}"
"{'interval_start': '2022-04-11T00:00:00Z', 'max': '2022-04-17T16:02:59.890000Z', 'min': '2022-04-11T14:32:32.191000Z'}","{'average': 0.032796050681737, 'count': 724, 'max': 0.038898162543773006, 'min': 0.024240592494606, 'standard deviation': 0.002346812881082}"
"{'interval_start': '2022-04-18T00:00:00Z', 'max': '2022-04-24T13:51:06.571000Z', 'min': '2022-04-18T14:01:35.197000Z'}","{'average': 0.033161965140212, 'count': 1033, 'max': 0.040128860622644, 'min': 0.026003504171967003, 'standard deviation': 0.0020879154191680003}"
"{'interval_start': '2022-04-25T00:00:00Z', 'max': '2022-05-01T14:59:34.057000Z', 'min': '2022-04-25T13:30:24.257000Z'}","{'average': 0.032215175763244, 'count': 852, 'max': 0.039857968688011, 'min': 0.024403134360909, 'standard deviation': 0.002271420806389}"
"{'interval_start': '2022-05-02T00:00:00Z', 'max': '2022-05-08T16:09:11.305000Z', 'min': '2022-05-02T16:19:37.357000Z'}","{'average': 0.031981010087625, 'count': 763, 'max': 0.040257539600133, 'min': 0.025472292676568004, 'standard deviation': 0.0017424752977890001}"
"{'interval_start': '2022-05-09T00:00:00Z', 'max': '2022-05-15T15:37:17.931000Z', 'min': '2022-05-09T14:07:38.680000Z'}","{'average': 0.030737902821292, 'count': 693, 'max': 0.037051863968372005, 'min': 0.022668225690722, 'standard deviation': 0.002439434409315}"
"{'interval_start': '2022-05-16T00:00:00Z', 'max': '2022-05-22T13:26:01.558000Z', 'min': '2022-05-16T13:36:17.941000Z'}","{'average': 0.029464698745718002, 'count': 771, 'max': 0.035888541489839006, 'min': 0.021818336099386, 'standard deviation': 0.00226222836998}"
"{'interval_start': '2022-05-23T00:00:00Z', 'max': '2022-05-29T16:15:16.159000Z', 'min': '2022-05-23T14:44:26.178000Z'}","{'average': 0.028370664531225002, 'count': 1124, 'max': 0.035354766994714, 'min': 0.021379265934228002, 'standard deviation': 0.0022501595745320004}"
"{'interval_start': '2022-05-30T00:00:00Z', 'max': '2022-06-05T15:43:13.582000Z', 'min': '2022-05-30T14:13:10.401000Z'}","{'average': 0.027427657751552002, 'count': 1209, 'max': 0.035581763833761, 'min': 0.019449837505817, 'standard deviation': 0.0018224598336400001}"
"{'interval_start': '2022-06-06T00:00:00Z', 'max': '2022-06-12T13:31:50.864000Z', 'min': '2022-06-06T13:42:03.015000Z'}","{'average': 0.026195821459913, 'count': 952, 'max': 0.033443789929151, 'min': 0.018545541912317002, 'standard deviation': 0.002337183418288}"
"{'interval_start': '2022-06-13T00:00:00Z', 'max': '2022-06-19T16:21:29.487000Z', 'min': '2022-06-13T13:12:50.754000Z'}","{'average': 0.026725488822238002, 'count': 746, 'max': 0.034665510058403, 'min': 0.018625885248184003, 'standard deviation': 0.002251439619986}"
"{'interval_start': '2022-06-20T00:00:00Z', 'max': '2022-06-26T14:09:07.802000Z', 'min': '2022-06-20T14:19:15.437000Z'}","{'average': 0.025586119693835, 'count': 1153, 'max': 0.033748399466276, 'min': 0.018057022243738, 'standard deviation': 0.0023479931209910002}"
"{'interval_start': '2022-06-27T00:00:00Z', 'max': '2022-07-03T13:38:12.805000Z', 'min': '2022-06-27T13:48:21.727000Z'}","{'average': 0.023919602629502, 'count': 1184, 'max': 0.030981697142124003, 'min': 0.018109787255525003, 'standard deviation': 0.002272966743409}"
"{'interval_start': '2022-07-04T00:00:00Z', 'max': '2022-07-10T14:46:39.380000Z', 'min': '2022-07-04T13:17:50.007000Z'}","{'average': 0.025117850870808003, 'count': 668, 'max': 0.032339632511138, 'min': 0.018516173586249, 'standard deviation': 0.002055927845868}"
"{'interval_start': '2022-07-11T00:00:00Z', 'max': '2022-07-17T15:55:59.250000Z', 'min': '2022-07-11T14:25:42.746000Z'}","{'average': 0.027238189074608003, 'count': 803, 'max': 0.039208050817251004, 'min': 0.015885919332504002, 'standard deviation': 0.002624333729032}"
"{'interval_start': '2022-07-18T00:00:00Z', 'max': '2022-07-24T13:44:36.570000Z', 'min': '2022-07-18T13:54:43.996000Z'}","{'average': 0.028651171478710002, 'count': 949, 'max': 0.042540684342384005, 'min': 0.019873069599270002, 'standard deviation': 0.0028866443855000003}"
"{'interval_start': '2022-07-25T00:00:00Z', 'max': '2022-07-31T16:33:16.363000Z', 'min': '2022-07-25T15:03:20.521000Z'}","{'average': 0.027455515339682, 'count': 1036, 'max': 0.035876307636499, 'min': 0.019385240972042, 'standard deviation': 0.0022307244736570002}"
"{'interval_start': '2022-08-01T00:00:00Z', 'max': '2022-08-07T16:02:42.820000Z', 'min': '2022-08-01T14:32:02.675000Z'}","{'average': 0.028080332416249004, 'count': 772, 'max': 0.033023260533809, 'min': 0.020451620221138, 'standard deviation': 0.001848647217146}"
"{'interval_start': '2022-08-08T00:00:00Z', 'max': '2022-08-13T15:49:59.007000Z', 'min': '2022-08-08T14:01:01.417000Z'}","{'average': 0.028496115643887, 'count': 1274, 'max': 0.036016911268234, 'min': 0.021874194964766003, 'standard deviation': 0.0018568847899400002}"
"{'interval_start': '2022-08-15T00:00:00Z', 'max': '2022-08-21T13:20:00.326000Z', 'min': '2022-08-15T13:30:08.429000Z'}","{'average': 0.026524368380918, 'count': 471, 'max': 0.031699322164058005, 'min': 0.020723670721054, 'standard deviation': 0.0019349770468390002}"
"{'interval_start': '2022-08-22T00:00:00Z', 'max': '2022-08-28T14:28:08.146000Z', 'min': '2022-08-23T14:19:38.568000Z'}","{'average': 0.026358011064500003, 'count': 1297, 'max': 0.032170504331588, 'min': 0.019596211612224003, 'standard deviation': 0.002236460247149}"
"{'interval_start': '2022-08-29T00:00:00Z', 'max': '2022-09-04T13:56:48.469000Z', 'min': '2022-08-30T13:48:41.936000Z'}","{'average': 0.02781099655165, 'count': 899, 'max': 0.034147039055824, 'min': 0.023170191794633, 'standard deviation': 0.0017244353242560002}"
"{'interval_start': '2022-09-05T00:00:00Z', 'max': '2022-09-11T15:05:46.583000Z', 'min': '2022-09-05T13:36:50.558000Z'}","{'average': 0.026658593816733002, 'count': 913, 'max': 0.033134888857603004, 'min': 0.020132604986429003, 'standard deviation': 0.001849019735994}"
"{'interval_start': '2022-09-12T00:00:00Z', 'max': '2022-09-18T14:34:22.410000Z', 'min': '2022-09-12T14:44:41.480000Z'}","{'average': 0.028248784179900004, 'count': 1037, 'max': 0.036338482052087, 'min': 0.017828814685344002, 'standard deviation': 0.002575082472543}"
"{'interval_start': '2022-09-19T00:00:00Z', 'max': '2022-09-25T15:43:38.101000Z', 'min': '2022-09-19T14:13:26.198000Z'}","{'average': 0.029106682936520002, 'count': 1311, 'max': 0.035905726253986005, 'min': 0.020987274125218003, 'standard deviation': 0.002012224385966}"
"{'interval_start': '2022-09-26T00:00:00Z', 'max': '2022-10-02T13:32:20.747000Z', 'min': '2022-09-26T13:42:29.874000Z'}","{'average': 0.0262222747815, 'count': 1311, 'max': 0.031818002462387, 'min': 0.016175048425793002, 'standard deviation': 0.0020235507987350003}"
"{'interval_start': '2022-10-03T00:00:00Z', 'max': '2022-10-09T16:20:43.002000Z', 'min': '2022-10-03T14:50:51.581000Z'}","{'average': 0.026752747919844003, 'count': 815, 'max': 0.033106289803981004, 'min': 0.019573921337723, 'standard deviation': 0.0028927642565360003}"
"{'interval_start': '2022-10-10T00:00:00Z', 'max': '2022-10-16T14:09:21.292000Z', 'min': '2022-10-10T14:19:34.853000Z'}","{'average': 0.027411680307114, 'count': 809, 'max': 0.032523833215236005, 'min': 0.020975621417164, 'standard deviation': 0.001936637712878}"
"{'interval_start': '2022-10-17T00:00:00Z', 'max': '2022-10-23T13:38:26.887000Z', 'min': '2022-10-17T13:48:50.514000Z'}","{'average': 0.026555663463728, 'count': 678, 'max': 0.032839037477970005, 'min': 0.019208310171961, 'standard deviation': 0.0018473683627230001}"
